KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
57390200,0,,,1110,605,505,140,75,65,960,525,435,738,432,306,864,450,414,222,93,129,110,38,72,1,1,0,427,427,165,74,72,56,24,19,17,255,173,82,49,151,68,19,14
57390201,0,,,859,427,432,136,71,65,716,352,364,529,276,253,670,326,344,187,76,111,77,28,49,3,2,1,256,256,39,54,51,49,30,20,13,215,141,74,44,131,3,12,20
57390202,0,,,43,20,23,4,3,1,39,17,22,24,10,14,39,17,22,15,7,8,8,3,5,0,0,0,10,10,2,1,1,2,1,0,3,8,1,7,1,8,1,1,0
57390203,0,,,87,42,45,12,7,5,75,35,40,49,25,24,69,32,37,26,10,16,19,6,13,0,0,0,21,21,0,6,3,5,2,0,5,21,7,14,2,18,0,0,2
57390204,0,,,336,160,176,32,15,17,304,145,159,196,101,95,295,142,153,108,44,64,64,21,43,0,0,0,98,98,10,18,28,19,11,9,3,88,47,41,10,74,0,9,8
57390205,0,,,273,138,135,24,16,8,249,122,127,160,83,77,233,115,118,89,39,50,52,18,34,0,0,0,77,77,11,15,18,12,8,7,6,66,37,29,6,59,0,10,9
57390206,0,,,288,137,151,36,17,19,252,120,132,171,87,84,242,115,127,81,33,48,48,19,29,1,0,1,75,75,5,13,16,18,8,11,4,68,29,39,11,49,0,1,5
57390207,0,,,115,61,54,9,5,4,106,56,50,71,42,29,101,52,49,35,14,21,17,6,11,0,0,0,32,32,6,6,8,1,2,5,4,25,13,12,3,22,0,2,1
57390208,0,,,220,107,113,24,8,16,196,99,97,124,71,53,186,94,92,72,28,44,46,16,30,0,0,0,58,58,4,15,10,10,8,4,7,53,24,29,6,46,0,3,7
57390209,0,,,142,66,76,9,4,5,133,62,71,76,40,36,133,62,71,57,22,35,40,13,27,0,0,0,51,51,8,16,14,8,3,1,1,43,28,15,3,35,0,3,5
57390211,0,,,1586,773,813,227,113,114,1352,657,695,974,499,475,1261,612,649,378,158,220,185,65,120,6,0,6,482,482,66,102,122,94,43,34,21,411,279,132,64,253,5,30,27
57390212,0,,,794,394,400,67,39,28,727,355,372,487,254,233,692,337,355,240,101,139,113,42,71,1,0,1,257,257,35,70,68,38,23,15,8,220,147,73,15,163,1,16,19
57390215,0,,,791,382,409,96,51,45,695,331,364,468,229,239,660,313,347,227,102,125,135,54,81,0,0,0,225,225,18,55,51,40,31,19,11,203,115,88,27,148,1,7,28
57390216,0,,,45,21,24,4,2,2,41,19,22,30,14,16,38,17,21,11,5,6,3,0,3,1,0,1,14,14,2,4,3,2,0,3,0,12,6,6,1,9,0,1,3
57390217,0,,,39,19,20,6,2,4,33,17,16,24,13,11,31,17,14,9,4,5,4,1,3,0,0,0,12,12,2,2,3,3,1,0,1,10,6,4,2,8,0,2,0
57390218,0,,,137,66,71,14,7,7,123,59,64,76,40,36,121,58,63,47,19,28,28,11,17,0,0,0,32,32,0,6,8,6,2,5,5,32,11,21,4,27,0,0,2
57390219,0,,,167,74,93,11,1,10,156,73,83,111,57,54,142,65,77,45,16,29,26,8,18,0,0,0,44,44,8,5,6,8,8,5,4,36,14,22,4,32,0,6,1
57390221,0,,,346,132,214,66,38,28,280,94,186,98,53,45,279,94,185,182,41,141,167,32,135,0,0,0,53,51,12,6,7,15,10,1,0,39,38,1,23,1,6,0,0
57390222,0,,,247,72,175,18,8,10,229,64,165,128,42,86,179,61,118,101,22,79,83,15,68,0,0,0,41,39,8,8,7,8,6,2,0,31,22,9,5,18,3,1,3
57390225,0,,,567,256,311,69,33,36,496,223,273,291,148,143,472,208,264,205,75,130,132,40,92,1,0,1,147,146,19,36,28,22,21,12,8,125,82,43,13,88,0,10,17
57390226,0,,,699,342,357,88,48,40,611,294,317,394,202,192,574,278,296,217,92,125,125,42,83,0,0,0,206,206,29,55,31,38,22,19,12,175,96,79,23,145,0,19,22
57390229,0,,,243,111,132,18,6,12,225,105,120,141,74,67,216,100,116,84,31,53,52,16,36,1,1,0,78,78,14,20,16,12,9,4,3,63,34,29,6,54,1,8,11
57390233,0,,,106,46,60,12,5,7,94,41,53,62,28,34,87,38,49,32,13,19,13,3,10,0,0,0,32,32,5,9,3,9,2,1,3,26,16,10,4,23,0,4,8
57390234,1,,57390235,577,285,292,101,53,48,488,240,248,336,169,167,453,222,231,152,71,81,70,30,40,1,0,1,173,173,26,41,31,39,22,13,6,151,104,47,30,99,0,16,17
57390235,2,57390234,,12,8,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
57390236,0,,,592,278,314,75,35,40,517,243,274,335,167,168,494,232,262,182,76,106,91,26,65,0,0,0,155,155,15,36,26,29,16,14,19,140,69,71,20,116,0,9,16
57390237,0,,,84,42,42,6,3,3,78,39,39,45,27,18,77,39,38,33,12,21,16,4,12,0,0,0,23,23,0,4,11,2,2,3,1,23,14,9,2,20,0,0,1
57390239,0,,,17,9,8,3,2,1,14,7,7,7,4,3,14,7,7,7,3,4,2,1,1,0,0,0,4,4,0,2,0,0,0,1,1,4,2,2,1,4,0,0,2
57390243,0,,,107,48,59,10,2,8,97,46,51,59,29,30,96,45,51,38,17,21,19,8,11,0,0,0,34,34,4,14,3,5,4,2,2,30,16,14,2,25,0,2,7
