KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
56380307,0,,,242,116,126,19,11,8,223,105,118,123,60,63,214,101,113,100,45,55,62,26,36,0,0,0,86,86,14,32,18,10,8,1,3,72,45,27,6,70,0,12,18
56380309,0,,,64,34,30,6,4,2,58,30,28,29,18,11,55,27,28,29,12,17,12,4,8,0,0,0,22,22,5,5,7,2,0,1,2,17,9,8,1,19,0,4,4
56380318,0,,,47,24,23,2,0,2,45,24,21,28,16,12,42,22,20,17,8,9,14,5,9,0,0,0,15,15,2,5,2,4,1,0,1,13,9,4,1,10,0,1,2
56380319,1,,56380329,56,28,28,2,1,1,62,32,30,27,13,14,60,32,28,35,19,16,13,8,5,0,0,0,20,20,2,11,8,0,2,1,0,22,17,5,1,20,0,1,8
56380329,2,56380319,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56380401,0,,,21,9,12,0,0,0,21,9,12,14,8,6,19,8,11,7,1,6,2,0,2,1,1,0,10,10,4,4,0,1,1,0,0,6,4,2,0,6,0,2,1
56380402,2,56380413,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56380403,2,56380413,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56380404,0,,,401,201,200,59,32,27,342,169,173,197,107,90,327,159,168,145,62,83,69,29,40,1,0,1,122,122,16,38,20,14,18,10,6,106,63,43,14,96,0,12,21
56380405,0,,,421,248,173,31,16,15,384,226,158,298,185,113,340,191,149,86,41,45,45,19,26,2,0,2,203,203,105,34,26,26,7,4,1,98,75,23,8,57,49,9,11
56380406,0,,,72,54,18,4,3,1,66,49,17,55,43,12,53,37,16,11,6,5,5,4,1,4,3,1,49,49,38,6,1,2,1,1,0,11,8,3,2,7,17,1,2
56380407,0,,,39,17,22,3,1,2,36,16,20,17,6,11,34,16,18,19,10,9,10,5,5,0,0,0,14,14,4,3,3,1,2,1,0,10,6,4,1,12,0,4,1
56380408,0,,,184,95,89,21,14,7,163,81,82,90,49,41,158,78,80,73,32,41,45,17,28,0,0,0,70,70,19,20,15,5,7,3,1,51,29,22,4,52,0,10,8
56380409,0,,,463,221,242,26,16,10,437,205,232,244,125,119,415,195,220,193,80,113,131,50,81,1,0,1,159,158,32,44,36,22,15,9,0,126,80,46,8,118,0,25,20
56380411,0,,,260,133,127,20,11,9,240,122,118,147,78,69,230,115,115,93,44,49,40,18,22,0,0,0,92,92,14,30,19,17,11,1,0,78,53,25,5,61,0,6,20
56380413,1,,56380402;56380403,461,230,231,53,29,24,411,203,208,318,158,160,390,191,199,93,45,48,31,9,22,3,0,3,168,168,26,59,46,21,13,3,2,144,124,20,11,70,0,11,20
