KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
56394286,0,,,84,41,43,6,4,2,78,37,41,47,22,25,73,35,38,31,15,16,23,10,13,0,0,0,30,30,12,5,4,3,1,2,3,18,7,11,3,22,0,7,3
56394290,0,,,261,126,135,9,6,3,252,120,132,153,81,72,242,114,128,99,39,60,61,20,41,0,0,0,89,89,14,21,27,18,3,5,1,74,43,31,3,67,0,8,7
56394291,0,,,20,11,9,0,0,0,20,11,9,15,11,4,20,11,9,5,0,5,4,0,4,0,0,0,9,9,3,3,1,2,0,0,0,6,5,1,0,5,0,2,0
56394306,0,,,316,160,156,43,29,14,273,131,142,172,89,83,254,122,132,101,42,59,60,24,36,0,0,0,124,123,36,33,24,19,7,3,1,87,77,10,10,68,4,21,14
56394307,0,,,515,259,256,54,27,27,461,232,229,283,150,133,428,213,215,178,82,96,98,40,58,2,1,1,190,190,51,52,36,20,18,11,2,139,95,44,8,126,0,32,25
56394314,0,,,98,49,49,1,0,1,97,49,48,45,24,21,93,48,45,52,25,27,31,11,20,0,0,0,40,40,6,20,10,1,1,1,1,33,22,11,0,32,0,4,8
56394315,0,,,60,31,29,5,3,2,55,28,27,36,21,15,55,28,27,19,7,12,10,3,7,0,0,0,30,30,13,8,5,4,0,0,0,16,13,3,2,14,1,5,3
56394316,0,,,1439,678,761,121,58,63,1316,618,698,710,367,343,1248,583,665,606,251,355,362,139,223,1,1,0,625,625,206,206,110,53,29,14,7,414,308,106,21,413,21,120,105
56394317,0,,,228,86,142,5,4,1,222,81,141,63,31,32,220,81,139,159,50,109,120,33,87,1,0,1,64,62,24,23,9,4,2,0,0,38,30,8,1,41,5,9,14
56394320,1,,56394331,178,96,82,11,10,1,169,87,82,77,47,30,164,84,80,92,40,52,60,22,38,0,0,0,73,73,25,25,7,8,4,4,1,49,34,15,3,65,0,19,15
56394323,0,,,69,34,35,4,2,2,65,32,33,34,22,12,63,32,31,31,10,21,19,4,15,0,0,0,24,24,7,5,4,3,3,1,1,17,8,9,0,23,0,6,0
56394324,0,,,109,51,58,9,5,4,100,46,54,43,23,20,99,45,54,57,23,34,33,13,20,0,0,0,49,49,15,20,7,4,1,2,0,34,26,8,2,40,0,12,13
56394325,0,,,245,121,124,30,19,11,215,102,113,117,59,58,204,98,106,98,43,55,54,19,35,1,1,0,95,95,30,26,11,17,5,5,1,65,47,18,7,70,3,22,16
56394326,0,,,202,93,109,20,12,8,182,81,101,92,45,47,173,78,95,90,36,54,60,21,39,0,0,0,85,85,25,33,10,9,4,3,1,59,43,16,3,63,0,17,14
56394327,0,,,229,107,122,22,11,11,207,96,111,104,57,47,199,91,108,103,39,64,63,17,46,0,0,0,100,100,39,27,15,9,6,3,1,61,45,16,1,73,0,32,15
56394328,0,,,350,162,188,35,20,15,315,142,173,164,77,87,299,137,162,151,65,86,86,35,51,2,1,1,141,141,44,40,28,13,9,4,3,96,71,25,9,102,3,32,23
