KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
55380000,0,,,39,18,21,3,2,1,36,16,20,16,7,9,34,15,19,20,9,11,13,5,8,0,0,0,16,16,4,8,1,1,1,0,1,12,10,2,1,12,0,3,6
55380002,0,,,12,6,6,3,1,2,9,5,4,2,1,1,9,5,4,7,4,3,0,0,0,0,0,0,4,4,1,2,0,0,0,0,1,3,2,1,1,4,0,1,2
55380003,0,,,42,23,19,4,3,1,38,20,18,14,8,6,38,20,18,24,12,12,16,8,8,0,0,0,18,18,5,8,2,1,1,1,0,13,8,5,1,15,0,2,4
55380004,0,,,220,111,109,19,10,9,201,101,100,99,55,44,192,93,99,102,46,56,63,30,33,0,0,0,77,77,13,29,15,9,4,3,4,64,44,20,3,62,0,10,19
55380005,0,,,109,51,58,1,1,0,107,49,58,49,24,25,102,48,54,58,25,33,30,12,18,1,0,1,46,46,11,21,5,5,3,1,0,34,24,10,0,38,1,6,14
55380006,0,,,48,22,26,6,2,4,42,20,22,15,6,9,42,20,22,27,14,13,14,6,8,0,0,0,24,24,10,9,3,1,0,0,1,14,13,1,1,20,0,10,8
55380007,0,,,95,45,50,4,2,2,91,43,48,39,18,21,90,43,47,52,25,27,22,12,10,0,0,0,40,40,7,17,13,1,1,1,0,33,25,8,2,33,0,6,10
55380008,2,55380009,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55380009,1,,55380008,58,29,29,2,1,1,57,28,29,32,16,16,57,28,29,25,12,13,13,6,7,0,0,0,21,21,4,7,3,7,1,0,0,18,12,6,1,15,0,0,5
55380010,0,,,295,142,153,10,6,4,283,135,148,117,62,55,267,129,138,166,73,93,112,49,63,0,0,0,143,142,51,59,18,7,5,2,0,90,78,12,4,109,0,38,40
55380011,0,,,40,19,21,1,1,0,39,18,21,24,12,12,37,18,19,15,6,9,11,5,6,0,0,0,16,16,3,6,4,2,1,0,0,13,11,2,1,10,0,2,2
55380014,0,,,66,35,31,0,0,0,66,35,31,23,16,7,65,34,31,43,19,24,29,11,18,0,0,0,33,33,12,14,2,5,0,0,0,21,18,3,0,28,0,8,10
55380015,0,,,121,62,59,12,8,4,109,54,55,67,35,32,100,49,51,42,19,23,29,11,18,0,0,0,45,45,11,13,8,8,4,0,1,34,24,10,3,30,0,9,9
55380016,0,,,52,21,31,1,0,1,51,21,30,20,10,10,50,20,30,31,11,20,21,7,14,0,0,0,20,20,5,5,5,4,0,1,0,15,9,6,0,17,0,4,4
55380018,0,,,87,39,48,7,3,4,80,36,44,35,19,16,77,34,43,45,17,28,27,11,16,1,0,1,32,32,5,16,3,2,4,1,1,27,20,7,1,29,0,4,11
55380019,0,,,116,58,58,2,0,2,114,58,56,59,32,27,107,53,54,55,26,29,34,15,19,0,0,0,43,43,8,19,6,4,3,0,3,35,23,12,0,36,0,7,11
55380020,0,,,116,51,65,5,3,2,111,48,63,46,24,22,104,45,59,65,24,41,33,12,21,0,0,0,48,47,13,20,7,4,2,0,1,34,29,5,0,36,0,8,15
55380021,0,,,29,12,17,1,1,0,28,11,17,3,1,2,28,11,17,25,10,15,13,6,7,0,0,0,17,17,10,4,2,0,1,0,0,7,5,2,0,17,0,10,4
55380024,0,,,74,30,44,0,0,0,74,30,44,24,9,15,73,29,44,50,21,29,31,10,21,0,0,0,41,41,18,14,8,1,0,0,0,23,21,2,0,36,0,16,9
55380025,0,,,128,64,64,2,0,2,125,63,62,54,28,26,124,62,62,71,35,36,39,17,22,1,0,1,62,62,21,24,9,8,0,0,0,40,31,9,1,45,0,17,12
55380026,0,,,87,42,45,5,4,1,82,38,44,46,21,25,80,36,44,36,17,19,21,8,13,0,0,0,32,32,8,10,5,4,3,1,1,24,18,6,1,26,0,6,6
55380027,0,,,75,34,41,2,2,0,73,32,41,38,17,21,70,31,39,35,15,20,19,9,10,0,0,0,29,29,6,13,3,4,1,1,1,23,17,6,0,22,0,3,10
55380030,0,,,82,34,48,9,3,6,73,31,42,34,14,20,69,28,41,39,17,22,25,9,16,0,0,0,30,30,7,12,6,0,1,1,3,23,16,7,1,24,0,5,9
