KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,　人口（総数）,　人口（総数）　男,　人口（総数）　女,　０～１４歳人口　総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口　総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口　総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　１８歳以上人口　総数,　１８歳以上人口　男,　１８歳以上人口　女,　２０歳以上人口　総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口　総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口　総数,　７５歳以上人口　男,　７５歳以上人口　女,　８５歳以上人口　総数,　８５歳以上人口　男,　８５歳以上人口　女,　９５歳以上人口　総数,　９５歳以上人口　男,　９５歳以上人口　女,　外国人人口　総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯数　一般世帯数,　２人世帯数　一般世帯数,　３人世帯数　一般世帯数,　４人世帯数　一般世帯数,　５人世帯数　一般世帯数,　６人世帯数　一般世帯数,　７人以上世帯数　一般世帯数,　親族のみの世帯数　一般世帯数,　核家族世帯数　一般世帯数,　核家族以外の世帯数　一般世帯数,　６歳未満世帯員のいる世帯数　一般世帯数,　６５歳以上世帯員のいる世帯数　一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯数　一般世帯数,　高齢単身世帯数　一般世帯数,　高齢夫婦世帯数　一般世帯数
57380108,0,,,91,50,41,11,9,2,80,41,39,41,24,17,77,38,39,76,37,39,39,17,22,23,9,14,3,0,3,1,0,1,0,0,0,28,27,4,7,7,3,1,2,3,23,11,12,2,23,0,1,5
57380118,0,,,369,119,250,10,5,5,359,114,245,82,46,36,357,114,243,356,113,243,277,68,209,233,50,183,176,32,144,41,6,35,0,0,0,64,61,13,25,9,8,3,3,0,47,33,14,3,44,0,9,12
57380128,0,,,180,87,93,20,16,4,159,71,88,83,38,45,154,68,86,153,68,85,76,33,43,36,10,26,18,3,15,2,1,1,0,0,0,80,80,30,19,18,8,4,1,0,50,36,14,3,56,1,19,6
57380129,0,,,42,20,22,3,1,2,39,19,20,17,9,8,38,18,20,38,18,20,22,10,12,9,5,4,1,0,1,0,0,0,0,0,0,20,20,4,12,2,2,0,0,0,16,15,1,0,15,0,3,8
57380138,0,,,23,13,10,1,1,0,22,12,10,12,6,6,22,12,10,22,12,10,10,6,4,4,2,2,1,0,1,0,0,0,2,1,1,13,13,5,6,2,0,0,0,0,8,7,1,0,8,0,5,2
57380139,0,,,719,381,338,64,32,32,654,348,306,339,211,128,643,339,304,634,334,300,315,137,178,177,73,104,56,22,34,2,1,1,1,1,0,380,380,192,104,45,21,11,4,3,184,146,38,13,222,23,90,57
57380148,0,,,211,100,111,35,17,18,176,83,93,106,56,50,168,77,91,166,76,90,70,27,43,38,12,26,8,3,5,0,0,0,2,0,2,89,88,30,28,9,12,5,4,0,58,51,7,9,51,1,19,9
57380149,0,,,545,268,277,39,22,17,506,246,260,253,148,105,488,234,254,482,230,252,253,98,155,151,46,105,63,20,43,7,1,6,2,2,0,269,267,120,89,23,23,8,3,1,147,128,19,12,176,5,77,37
57380158,0,,,89,40,49,8,3,5,81,37,44,42,21,21,78,36,42,78,36,42,39,16,23,16,4,12,6,0,6,2,0,2,0,0,0,36,36,8,16,6,3,0,2,1,28,24,4,1,24,0,6,7
57380168,0,,,59,32,27,2,1,1,57,31,26,23,13,10,55,30,25,54,29,25,34,18,16,18,10,8,11,5,6,0,0,0,0,0,0,29,29,13,9,4,1,1,0,1,16,13,3,1,25,0,13,6
57380178,0,,,24,9,15,2,0,2,22,9,13,7,4,3,21,8,13,21,8,13,15,5,10,10,3,7,2,1,1,0,0,0,0,0,0,14,14,7,5,1,1,0,0,0,7,6,1,1,11,0,6,4
57380179,0,,,58,26,32,5,2,3,53,24,29,24,13,11,51,24,27,51,24,27,29,11,18,14,4,10,4,0,4,0,0,0,0,0,0,24,24,10,6,3,3,0,1,1,14,9,5,1,19,0,7,4
