KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
55370001,0,,,313,152,161,27,15,12,286,137,149,172,84,88,279,135,144,274,133,141,114,53,61,57,24,33,21,8,13,3,0,3,1,0,1,103,101,17,21,27,21,10,3,2,84,55,29,5,72,0,13,11
55370002,0,,,244,123,121,17,11,6,223,111,112,144,77,67,221,109,112,219,109,110,79,34,45,40,13,27,15,2,13,4,0,4,1,0,1,73,72,10,26,15,11,7,1,2,61,41,20,3,54,0,7,10
55370003,0,,,17,9,8,2,1,1,15,8,7,11,6,5,15,8,7,14,7,7,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,1,0,1,4,3,1,0,3,0,0,0
55370005,0,,,137,68,69,10,4,6,127,64,63,75,39,36,122,61,61,121,60,61,52,25,27,20,9,11,8,4,4,1,1,0,3,0,3,53,53,9,23,8,9,2,2,0,44,32,12,4,33,0,5,10
55370006,0,,,19,10,9,1,1,0,18,9,9,13,7,6,18,9,9,18,9,9,5,2,3,5,2,3,2,1,1,0,0,0,0,0,0,7,7,1,3,2,0,0,1,0,6,5,1,0,3,0,0,2
55370008,0,,,61,30,31,4,2,2,57,28,29,25,14,11,57,28,29,55,27,28,32,14,18,10,6,4,3,1,2,0,0,0,0,0,0,23,23,4,9,4,5,0,0,1,19,14,5,1,20,0,3,9
55370009,0,,,71,31,40,9,3,6,62,28,34,46,22,24,61,27,34,58,26,32,16,6,10,8,3,5,5,1,4,0,0,0,7,3,4,28,28,6,11,6,2,2,0,1,21,18,3,3,11,0,2,4
55370010,0,,,22,8,14,0,0,0,22,8,14,16,7,9,20,7,13,19,6,13,6,1,5,4,1,3,2,1,1,0,0,0,4,0,4,10,10,5,1,1,3,0,0,0,5,3,2,0,5,2,1,0
55370011,0,,,707,328,379,63,27,36,632,293,339,367,177,190,612,280,332,601,278,323,265,116,149,117,44,73,34,12,22,2,0,2,1,0,1,247,245,51,64,57,37,20,12,4,189,129,60,7,172,1,35,38
