KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
55390000,0,,,767,358,409,74,31,43,693,327,366,411,206,205,668,316,352,658,311,347,282,121,161,143,47,96,59,13,46,7,1,6,2,1,1,291,289,79,85,63,40,13,6,3,210,170,40,19,163,6,34,44
55390001,0,,,529,254,275,48,25,23,481,229,252,264,129,135,472,227,245,469,226,243,217,100,117,101,38,63,40,13,27,6,0,6,2,0,2,216,216,55,75,41,33,4,7,1,159,124,35,13,136,3,28,40
55390002,0,,,332,155,177,35,15,20,297,140,157,154,75,79,289,135,154,289,135,154,143,65,78,79,36,43,24,9,15,1,0,1,1,0,1,130,130,22,57,26,13,7,4,1,108,83,25,3,90,0,13,30
55390003,0,,,402,205,197,37,23,14,362,179,183,258,128,130,341,170,171,330,166,164,104,51,53,49,21,28,17,5,12,1,0,1,0,0,0,151,151,31,47,31,30,10,1,1,119,98,21,13,70,1,9,20
55390004,0,,,493,239,254,72,36,36,421,203,218,269,136,133,405,192,213,397,189,208,152,67,85,54,18,36,21,4,17,0,0,0,0,0,0,177,177,40,49,40,23,14,8,3,136,107,29,5,99,1,24,22
55390005,0,,,109,56,53,13,9,4,96,47,49,53,25,28,95,47,48,95,47,48,43,22,21,22,9,13,7,3,4,0,0,0,2,1,1,42,42,10,11,12,5,3,1,0,32,25,7,3,29,0,8,8
55390006,0,,,751,265,486,29,16,13,722,249,473,120,65,55,714,247,467,707,242,465,602,184,418,547,153,394,413,94,319,92,20,72,2,2,0,84,76,23,25,7,8,7,5,1,53,42,11,9,34,14,1,20
55390007,0,,,479,237,242,52,29,23,421,206,215,310,156,154,406,201,205,395,196,199,111,50,61,47,20,27,13,5,8,1,1,0,13,8,5,191,191,40,74,37,26,11,0,3,147,128,19,20,74,9,8,31
55390008,0,,,541,246,295,70,39,31,466,204,262,280,137,143,454,199,255,449,198,251,186,67,119,121,38,83,73,14,59,16,1,15,7,3,4,184,183,45,58,39,24,7,7,3,134,109,25,20,80,14,13,22
