KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
55384243,0,,,313,156,157,26,12,14,287,144,143,150,78,72,281,141,140,278,140,138,137,66,71,73,33,40,33,12,21,2,0,2,1,1,0,106,106,14,43,19,14,4,6,6,92,58,34,5,90,0,12,19
55384244,0,,,203,93,110,21,9,12,182,84,98,98,47,51,178,83,95,176,82,94,84,37,47,46,16,30,17,6,11,3,2,1,0,0,0,73,73,16,21,16,10,5,3,2,57,36,21,3,57,0,12,14
55384246,1,,55384256,25,14,11,4,2,2,26,16,10,16,10,6,26,16,10,26,16,10,10,6,4,3,2,1,2,1,1,0,0,0,0,0,0,8,8,3,0,3,3,0,1,0,7,5,2,2,7,0,2,0
55384247,0,,,14,7,7,0,0,0,14,7,7,7,3,4,14,7,7,14,7,7,7,4,3,5,3,2,2,2,0,0,0,0,0,0,0,8,8,4,2,2,0,0,0,0,4,4,0,0,5,0,3,1
55384249,0,,,35,24,11,0,0,0,35,24,11,15,11,4,34,24,10,33,23,10,20,13,7,11,7,4,2,1,1,0,0,0,0,0,0,14,14,3,6,2,2,0,1,0,11,7,4,0,12,0,2,4
55384250,0,,,872,429,443,144,67,77,727,362,365,513,266,247,703,349,354,692,341,351,214,96,118,104,41,63,33,8,25,5,3,2,1,0,1,311,311,64,93,54,63,20,15,2,247,190,57,43,141,8,15,33
55384251,0,,,656,338,318,123,72,51,533,266,267,387,190,197,514,255,259,505,252,253,146,76,70,59,27,32,20,8,12,0,0,0,3,0,3,230,230,55,65,33,37,24,10,6,173,128,45,45,99,7,14,29
55384252,0,,,127,62,65,8,5,3,119,57,62,70,36,34,114,55,59,112,54,58,49,21,28,21,7,14,10,4,6,1,0,1,0,0,0,41,41,2,17,6,11,3,1,1,39,25,14,2,33,0,2,6
55384253,0,,,556,265,291,63,38,25,490,225,265,305,149,156,473,216,257,468,214,254,185,76,109,89,29,60,33,4,29,1,0,1,1,0,1,178,178,21,59,31,33,19,10,5,155,98,57,14,125,0,16,20
55384254,0,,,325,125,200,25,13,12,300,112,188,112,48,64,295,111,184,290,108,182,188,64,124,129,34,95,96,22,74,23,2,21,1,0,1,72,71,9,22,12,14,6,3,5,62,36,26,7,60,0,8,13
55384255,0,,,236,122,114,20,14,6,216,108,108,119,63,56,206,101,105,201,97,104,97,45,52,50,20,30,17,6,11,2,1,1,3,0,3,82,82,18,20,17,15,6,5,1,64,38,26,3,63,0,14,10
55384256,2,55384246,,5,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55384260,0,,,861,406,455,105,57,48,744,340,404,541,256,285,721,331,390,711,325,386,203,84,119,106,38,68,41,11,30,5,1,4,41,1,40,401,391,179,85,57,44,15,7,4,210,170,40,31,123,52,30,26
55384261,0,,,830,386,444,160,72,88,659,308,351,498,233,265,635,298,337,619,292,327,161,75,86,77,30,47,34,16,18,4,2,2,44,7,37,322,322,108,73,55,45,22,14,5,209,159,50,50,112,33,18,24
55384262,0,,,268,133,135,32,18,14,236,115,121,136,72,64,232,112,120,226,107,119,100,43,57,51,19,32,13,4,9,0,0,0,0,0,0,78,78,5,28,11,11,13,6,4,73,40,33,6,64,0,5,13
55384263,0,,,631,298,333,103,50,53,528,248,280,351,169,182,504,237,267,499,233,266,177,79,98,91,35,56,33,11,22,4,0,4,1,1,0,194,194,28,55,36,30,19,17,9,166,113,53,19,115,0,16,23
55384264,0,,,27,15,12,1,0,1,26,15,11,13,9,4,25,14,11,24,13,11,13,6,7,3,1,2,1,0,1,0,0,0,0,0,0,9,9,1,3,2,2,0,1,0,8,5,3,0,8,0,1,3
